,date,open,high,low,close,volume
0,2025-05-13 22:00:00,104342.7,104432.03,104100.0,104128.5,502.72511
1,2025-05-13 23:00:00,104128.5,104285.66,103869.01,104103.72,555.94433
2,2025-05-14 00:00:00,104103.72,104115.86,103763.85,103920.76,1038.59479
3,2025-05-14 01:00:00,103920.77,104082.71,103700.0,103734.82,1074.76281
4,2025-05-14 02:00:00,103734.81,103786.21,103496.82,103713.27,481.61389
5,2025-05-14 03:00:00,103713.27,103777.78,103453.26,103587.44,415.74688
6,2025-05-14 04:00:00,103587.44,103842.98,103471.36,103743.02,427.81934
7,2025-05-14 05:00:00,103743.02,103971.0,103687.13,103896.71,506.88636
8,2025-05-14 06:00:00,103896.7,103952.39,103662.82,103757.5,381.32265
9,2025-05-14 07:00:00,103757.5,103800.0,103381.02,103716.55,786.22564
10,2025-05-14 08:00:00,103716.55,103888.0,103187.0,103200.0,1056.63353
11,2025-05-14 09:00:00,103200.0,103496.05,102875.22,103485.73,1191.70027
12,2025-05-14 10:00:00,103485.73,103929.32,103460.72,103708.49,704.389
13,2025-05-14 11:00:00,103708.5,104145.0,103708.5,103944.93,583.04021
14,2025-05-14 12:00:00,103944.93,104208.77,103907.45,103999.99,488.53049
15,2025-05-14 13:00:00,103999.99,104356.95,103492.06,103970.87,1907.26615
16,2025-05-14 14:00:00,103970.87,103971.88,102902.0,103265.46,1950.09622
17,2025-05-14 15:00:00,103265.47,103555.56,102833.55,103514.24,856.1516
18,2025-05-14 16:00:00,103514.24,103614.61,103173.55,103363.65,475.44971
19,2025-05-14 17:00:00,103363.66,103428.58,102602.05,103246.79,595.35133
20,2025-05-14 18:00:00,103246.78,103523.81,103029.45,103523.81,393.98215
21,2025-05-14 19:00:00,103523.8,103720.44,103243.0,103321.72,392.19365
22,2025-05-14 20:00:00,103321.73,103658.35,103304.66,103555.51,195.13432
23,2025-05-14 21:00:00,103555.52,103667.52,103434.55,103647.39,186.25436
24,2025-05-14 22:00:00,103647.39,103658.3,103430.63,103511.46,139.37207
25,2025-05-14 23:00:00,103511.46,103608.73,103357.77,103507.82,224.39068
26,2025-05-15 00:00:00,103507.83,103866.51,103492.06,103801.85,316.48566
27,2025-05-15 01:00:00,103801.85,103801.86,102968.16,103033.52,568.67212
28,2025-05-15 02:00:00,103033.51,103206.35,102916.05,103047.62,446.23075
29,2025-05-15 03:00:00,103047.62,103142.86,102720.0,102753.63,466.40868
30,2025-05-15 04:00:00,102753.62,102962.38,102711.0,102891.76,351.7693
31,2025-05-15 05:00:00,102891.76,102922.17,102336.7,102375.31,519.41864
32,2025-05-15 06:00:00,102375.31,102686.1,102140.0,102247.4,714.15222
33,2025-05-15 07:00:00,102247.41,102440.0,101724.17,101779.99,768.32213
34,2025-05-15 08:00:00,101779.99,102327.0,101758.97,102274.65,594.85241
35,2025-05-15 09:00:00,102274.65,102274.66,101500.0,101823.39,860.32483
36,2025-05-15 10:00:00,101823.4,101930.58,101600.0,101804.74,494.18425
37,2025-05-15 11:00:00,101804.75,102441.0,101790.2,102371.61,662.74555
38,2025-05-15 12:00:00,102371.62,102838.82,102271.58,102560.0,981.88637
39,2025-05-15 13:00:00,102560.01,102787.82,101569.84,102133.49,1037.21134
40,2025-05-15 14:00:00,102133.49,102398.31,101383.07,101987.65,1209.87624
41,2025-05-15 15:00:00,101987.64,103291.99,101931.86,103251.35,1083.57557
42,2025-05-15 16:00:00,103251.36,103847.13,103026.33,103846.27,1096.42524
43,2025-05-15 17:00:00,103846.28,104192.7,103650.79,103968.24,1311.32988
44,2025-05-15 18:00:00,103968.24,104012.49,102641.54,102697.31,1125.34279
45,2025-05-15 19:00:00,102697.31,103228.06,102552.35,103157.26,909.12835
46,2025-05-15 20:00:00,103157.26,103491.43,102884.6,103443.51,666.51008
47,2025-05-15 21:00:00,103443.51,103443.51,102708.46,103288.75,463.839
48,2025-05-15 22:00:00,103288.75,103980.84,103254.25,103492.06,660.25544
49,2025-05-15 23:00:00,103492.06,103893.73,103230.76,103763.71,690.0392
50,2025-05-16 00:00:00,103763.71,104033.9,103655.16,103764.81,805.5454
51,2025-05-16 01:00:00,103764.82,104108.9,103467.91,104047.61,842.64231
52,2025-05-16 02:00:00,104047.6,104466.01,103928.8,104199.8,1102.45583
53,2025-05-16 03:00:00,104199.8,104328.32,103988.18,104023.49,543.50598
54,2025-05-16 04:00:00,104023.49,104184.72,103816.6,103919.95,458.36015
55,2025-05-16 05:00:00,103919.96,104148.0,103833.64,103898.52,418.83888
56,2025-05-16 06:00:00,103898.52,104100.0,103860.32,103987.87,741.97708
57,2025-05-16 07:00:00,103987.87,104190.48,103694.18,103710.17,719.7843
58,2025-05-16 08:00:00,103710.17,103760.0,103100.49,103388.6,1261.58345
59,2025-05-16 09:00:00,103388.6,103820.0,103388.6,103793.65,824.12938
60,2025-05-16 10:00:00,103793.65,103886.01,103635.18,103796.91,509.73742
61,2025-05-16 11:00:00,103796.92,103900.0,103552.0,103651.71,523.12827
62,2025-05-16 12:00:00,103651.72,103768.51,103484.75,103506.07,387.69144
63,2025-05-16 13:00:00,103506.07,104099.88,103440.0,104007.98,976.52654
64,2025-05-16 14:00:00,104007.99,104007.99,103343.07,103578.7,943.56617
65,2025-05-16 15:00:00,103578.71,104286.0,103578.71,104183.33,1195.9957
66,2025-05-16 16:00:00,104183.32,104550.33,103837.82,104145.49,1228.2701
67,2025-05-16 17:00:00,104145.48,104396.28,103780.0,103867.96,430.37817
68,2025-05-16 18:00:00,103867.96,104094.9,103690.26,103691.55,420.24502
69,2025-05-16 19:00:00,103691.54,104047.62,103587.0,104032.6,273.94744
70,2025-05-16 20:00:00,104032.6,104032.6,103526.47,103692.48,285.67975
71,2025-05-16 21:00:00,103692.48,103791.94,103500.0,103612.0,249.10753
72,2025-05-16 22:00:00,103612.01,103613.02,103397.5,103521.96,344.55949
73,2025-05-16 23:00:00,103521.96,103690.18,103420.92,103463.9,196.22444
74,2025-05-17 00:00:00,103463.9,103539.69,103100.0,103360.01,743.27212
75,2025-05-17 01:00:00,103360.0,103360.01,102612.5,102829.57,901.79419
76,2025-05-17 02:00:00,102829.58,103357.6,102747.44,103286.01,650.39481
77,2025-05-17 03:00:00,103286.01,103600.0,103173.85,103508.48,563.37816
78,2025-05-17 04:00:00,103508.48,103666.67,103476.19,103658.05,336.48814
79,2025-05-17 05:00:00,103658.05,103709.86,103328.12,103342.79,224.58608
80,2025-05-17 06:00:00,103342.79,103500.0,103285.71,103487.95,413.82507
81,2025-05-17 07:00:00,103487.96,103640.14,103435.08,103451.14,344.02794
82,2025-05-17 08:00:00,103451.13,103568.58,103120.0,103426.06,685.20657
83,2025-05-17 09:00:00,103426.06,103549.92,102808.6,102896.59,1202.56724
84,2025-05-17 10:00:00,102896.59,103045.56,102822.64,102873.74,457.50752
85,2025-05-17 11:00:00,102873.74,103099.84,102753.67,102994.17,375.02021
86,2025-05-17 12:00:00,102994.18,103066.43,102892.38,102927.57,287.44977
87,2025-05-17 13:00:00,102927.58,103103.47,102640.02,102713.34,446.71269
88,2025-05-17 14:00:00,102713.33,103180.0,102707.72,103124.8,281.64444
